observed_at,reason,pool_max_open,pool_open,pool_in_use,pool_idle,pool_wait_count,pool_wait_duration_ms,in_flight_callbacks,stalled_in_flight,oldest_in_flight_age_ms,in_flight_current_phase
2026-08-23T12:28:03.065948088Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:28:38.065621729Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:29:13.065098792Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:29:43.065712964Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:30:18.065127716Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:30:48.066159445Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:31:23.065252555Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:31:53.065736031Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:32:28.066256824Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:33:03.065081226Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:33:33.065830167Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:34:08.065098526Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:34:38.065660825Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:35:13.065276516Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:35:43.0657115Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:36:13.065788417Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:36:48.065474801Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:37:18.065552756Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:37:53.065779793Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
